trade_id,trade_date,settlement_date,buyer_id,seller_id,instrument_id,quantity,price
T000045,2025-01-10,2025-01-11,PARTY008,PARTY003,STOCK_B,50,24.29
T000046,2025-01-02,2025-01-03,PARTY010,PARTY009,STOCK_A,500,9.81
T000047,2025-01-02,2025-01-03,PARTY010,PARTY008,STOCK_E,1000,120.37
T000048,2025-01-02,2025-01-03,PARTY009,PARTY002,STOCK_B,10,25.24
T000049,2025-01-05,2025-01-06,PARTY007,PARTY002,STOCK_E,25,120.95
T000050,2025-01-02,2025-01-03,PARTY010,PARTY002,STOCK_D,500,80.67
T000051,2025-01-10,2025-01-11,PARTY006,PARTY005,STOCK_B,500,25.54
T000052,2025-01-05,2025-01-06,PARTY005,PARTY008,STOCK_B,500,25.36
T000053,2025-01-09,2025-01-10,PARTY006,PARTY002,STOCK_A,100,10.12
T000054,2025-01-11,2025-01-12,PARTY002,PARTY003,STOCK_E,25,120.07
T000055,2025-01-04,2025-01-05,PARTY006,PARTY002,STOCK_B,50,24.46
T000056,2025-01-09,2025-01-10,PARTY009,PARTY005,STOCK_E,1000,121.85
T000057,2025-01-02,2025-01-03,PARTY009,PARTY005,STOCK_A,25,9.76
T000058,2025-01-03,2025-01-04,PARTY009,PARTY003,STOCK_C,50,55.58
T000059,2025-01-07,2025-01-08,PARTY004,PARTY006,STOCK_E,100,117.01
T000060,2025-01-02,2025-01-03,PARTY002,PARTY008,STOCK_C,10,52.27
T000061,2025-01-04,2025-01-05,PARTY005,PARTY003,STOCK_D,250,81.65
T000062,2025-01-10,2025-01-11,PARTY001,PARTY003,STOCK_A,500,10.4
T000063,2025-01-10,2025-01-11,PARTY001,PARTY007,STOCK_E,250,115.78
T000064,2025-01-04,2025-01-05,PARTY001,PARTY006,STOCK_C,1000,57.6
T000065,2025-01-02,2025-01-03,PARTY006,PARTY004,STOCK_B,500,24.01
T000066,2025-01-10,2025-01-11,PARTY007,PARTY003,STOCK_B,1000,24.16
T000067,2025-01-04,2025-01-05,PARTY007,PARTY001,STOCK_B,500,26.06
T000068,2025-01-08,2025-01-09,PARTY004,PARTY006,STOCK_B,1000,25.5
T000069,2025-01-08,2025-01-09,PARTY001,PARTY009,STOCK_B,25,25.79
T000070,2025-01-09,2025-01-10,PARTY006,PARTY005,STOCK_B,25,23.81
T000071,2025-01-05,2025-01-06,PARTY007,PARTY006,STOCK_C,1000,52.63
T000072,2025-01-06,2025-01-07,PARTY006,PARTY010,STOCK_D,500,83.85
T000073,2025-01-10,2025-01-11,PARTY006,PARTY001,STOCK_A,50,9.68
T000074,2025-01-06,2025-01-07,PARTY001,PARTY003,STOCK_E,100,118.15
T000075,2025-01-07,2025-01-08,PARTY007,PARTY010,STOCK_A,100,10.4
T000076,2025-01-05,2025-01-06,PARTY005,PARTY001,STOCK_D,10,80.16
T000077,2025-01-10,2025-01-11,PARTY004,PARTY007,STOCK_D,10,83.59
T000078,2025-01-07,2025-01-08,PARTY010,PARTY006,STOCK_A,500,10.4
T000079,2025-01-10,2025-01-11,PARTY005,PARTY008,STOCK_C,100,56.08
T000080,2025-01-10,2025-01-11,PARTY003,PARTY005,STOCK_D,500,83.52
T000081,2025-01-04,2025-01-05,PARTY010,PARTY005,STOCK_D,250,82.67
T000082,2025-01-06,2025-01-07,PARTY005,PARTY004,STOCK_D,1000,80.64
T000083,2025-01-07,2025-01-08,PARTY008,PARTY009,STOCK_D,500,77.71
T000084,2025-01-09,2025-01-10,PARTY003,PARTY002,STOCK_C,250,55.9
T000085,2025-01-11,2025-01-12,PARTY006,PARTY002,STOCK_B,500,24.53
T000086,2025-01-05,2025-01-06,PARTY003,PARTY001,STOCK_A,25,10.48
T000087,2025-01-11,2025-01-12,PARTY002,PARTY009,STOCK_D,500,80.61
T000088,2025-01-08,2025-01-09,PARTY008,PARTY007,STOCK_B,25,25.39
T000089,2025-01-02,2025-01-03,PARTY002,PARTY008,STOCK_B,25,25.76
T000090,2025-01-10,2025-01-11,PARTY008,PARTY001,STOCK_E,25,125.01
T000091,2025-01-03,2025-01-04,PARTY008,PARTY003,STOCK_D,500,80.25
T000092,2025-01-10,2025-01-11,PARTY010,PARTY006,STOCK_D,250,82.52
T000093,2025-01-10,2025-01-11,PARTY007,PARTY010,STOCK_D,25,81.95
T000094,2025-01-09,2025-01-10,PARTY008,PARTY005,STOCK_B,1000,25.34
T000095,2025-01-10,2025-01-11,PARTY008,PARTY004,STOCK_C,100,52.68
T000096,2025-01-06,2025-01-07,PARTY004,PARTY006,STOCK_C,50,57.16
T000097,2025-01-03,2025-01-04,PARTY003,PARTY004,STOCK_B,100,25.48
T000098,2025-01-05,2025-01-06,PARTY002,PARTY008,STOCK_D,50,80.34
T000099,2025-01-08,2025-01-09,PARTY001,PARTY005,STOCK_D,100,83.24
T000100,2025-01-11,2025-01-12,PARTY001,PARTY008,STOCK_D,10,83.54
T000101,2025-01-06,2025-01-07,PARTY007,PARTY008,STOCK_E,500,122.82
T000102,2025-01-11,2025-01-12,PARTY004,PARTY009,STOCK_B,50,24.84
T000103,2025-01-02,2025-01-03,PARTY007,PARTY006,STOCK_D,500,77.32
T000104,2025-01-09,2025-01-10,PARTY003,PARTY010,STOCK_A,100,10.09
T000105,2025-01-02,2025-01-03,PARTY002,PARTY008,STOCK_B,1000,24.9
T000106,2025-01-02,2025-01-03,PARTY005,PARTY008,STOCK_C,25,54.75
T000107,2025-01-07,2025-01-08,PARTY007,PARTY005,STOCK_D,50,82.68
T000108,2025-01-09,2025-01-10,PARTY001,PARTY010,STOCK_A,50,9.72
T000109,2025-01-03,2025-01-04,PARTY001,PARTY002,STOCK_B,25,25.85
T000110,2025-01-11,2025-01-12,PARTY003,PARTY005,STOCK_B,100,25.42
T000111,2025-01-11,2025-01-12,PARTY004,PARTY009,STOCK_C,1000,54.28
T000112,2025-01-11,2025-01-12,PARTY010,PARTY002,STOCK_B,50,24.02
T000113,2025-01-02,2025-01-03,PARTY005,PARTY008,STOCK_D,500,77.59
T000114,2025-01-11,2025-01-12,PARTY004,PARTY002,STOCK_C,1000,56.01
T000115,2025-01-03,2025-01-04,PARTY010,PARTY001,STOCK_C,250,54.61
T000116,2025-01-07,2025-01-08,PARTY002,PARTY010,STOCK_C,10,56.92
T000117,2025-01-09,2025-01-10,PARTY002,PARTY008,STOCK_C,500,57.15
T000118,2025-01-09,2025-01-10,PARTY003,PARTY008,STOCK_B,500,25.05
T000119,2025-01-06,2025-01-07,PARTY010,PARTY009,STOCK_D,100,79.48
T000120,2025-01-11,2025-01-12,PARTY005,PARTY007,STOCK_B,1000,26.09
T000121,2025-01-06,2025-01-07,PARTY008,PARTY004,STOCK_D,250,80.88
T000122,2025-01-08,2025-01-09,PARTY006,PARTY001,STOCK_D,1000,78.6
T000123,2025-01-09,2025-01-10,PARTY004,PARTY007,STOCK_C,50,53.79
T000124,2025-01-11,2025-01-12,PARTY005,PARTY010,STOCK_A,250,10.45
T000125,2025-01-03,2025-01-04,PARTY004,PARTY008,STOCK_D,250,82.07
T000126,2025-01-09,2025-01-10,PARTY008,PARTY009,STOCK_A,10,9.79
T000127,2025-01-08,2025-01-09,PARTY004,PARTY006,STOCK_E,50,119.68
T000128,2025-01-10,2025-01-11,PARTY006,PARTY008,STOCK_E,50,118.22
T000129,2025-01-09,2025-01-10,PARTY005,PARTY006,STOCK_C,25,52.91
T000130,2025-01-05,2025-01-06,PARTY006,PARTY002,STOCK_E,1000,122.28
T000131,2025-01-05,2025-01-06,PARTY004,PARTY009,STOCK_C,500,55.49
T000132,2025-01-10,2025-01-11,PARTY010,PARTY005,STOCK_A,1000,9.69
T000133,2025-01-05,2025-01-06,PARTY006,PARTY003,STOCK_C,10,56.14
T000134,2025-01-04,2025-01-05,PARTY005,PARTY001,STOCK_A,250,9.79
T000135,2025-01-04,2025-01-05,PARTY008,PARTY002,STOCK_A,250,9.78
T000136,2025-01-09,2025-01-10,PARTY008,PARTY006,STOCK_B,10,24.38
T000137,2025-01-09,2025-01-10,PARTY002,PARTY003,STOCK_D,100,76.59
T000138,2025-01-02,2025-01-03,PARTY003,PARTY004,STOCK_E,50,115.02
T000139,2025-01-05,2025-01-06,PARTY002,PARTY010,STOCK_D,250,80.77
T000140,2025-01-11,2025-01-12,PARTY004,PARTY010,STOCK_D,100,83.27
T000141,2025-01-06,2025-01-07,PARTY010,PARTY007,STOCK_C,250,55.67
T000142,2025-01-11,2025-01-12,PARTY002,PARTY005,STOCK_B,50,25.4
T000143,2025-01-04,2025-01-05,PARTY004,PARTY003,STOCK_E,10,115.88
T000144,2025-01-08,2025-01-09,PARTY008,PARTY009,STOCK_C,10,53.52
T000145,2025-01-06,2025-01-07,PARTY008,PARTY002,STOCK_B,50,25.72
T000146,2025-01-11,2025-01-12,PARTY004,PARTY008,STOCK_A,250,9.72
T000147,2025-01-04,2025-01-05,PARTY005,PARTY003,STOCK_A,10,9.67
T000148,2025-01-06,2025-01-07,PARTY010,PARTY005,STOCK_D,10,79.75
T000149,2025-01-06,2025-01-07,PARTY007,PARTY005,STOCK_E,250,119.93
T000150,2025-01-03,2025-01-04,PARTY010,PARTY001,STOCK_D,500,78.58
T000151,2025-01-06,2025-01-07,PARTY001,PARTY003,STOCK_B,500,25.84
T000152,2025-01-11,2025-01-12,PARTY010,PARTY001,STOCK_C,250,52.47
T000153,2025-01-04,2025-01-05,PARTY008,PARTY010,STOCK_D,50,77.45
T000154,2025-01-11,2025-01-12,PARTY007,PARTY009,STOCK_A,100,9.85
T000155,2025-01-07,2025-01-08,PARTY006,PARTY002,STOCK_B,50,24.78
T000156,2025-01-09,2025-01-10,PARTY005,PARTY008,STOCK_E,10,119.46
T000157,2025-01-07,2025-01-08,PARTY005,PARTY007,STOCK_A,1000,9.9
T000158,2025-01-10,2025-01-11,PARTY001,PARTY010,STOCK_D,100,76.43
T000159,2025-01-10,2025-01-11,PARTY006,PARTY009,STOCK_D,1000,76.41
T000160,2025-01-06,2025-01-07,PARTY009,PARTY003,STOCK_C,100,57.09
T000161,2025-01-09,2025-01-10,PARTY002,PARTY001,STOCK_E,1000,116.87
T000162,2025-01-04,2025-01-05,PARTY005,PARTY010,STOCK_A,250,9.91
T000163,2025-01-05,2025-01-06,PARTY002,PARTY009,STOCK_A,500,10.33
T000164,2025-01-09,2025-01-10,PARTY005,PARTY010,STOCK_C,100,56.84
T000165,2025-01-09,2025-01-10,PARTY004,PARTY009,STOCK_E,25,118.6
T000166,2025-01-11,2025-01-12,PARTY009,PARTY003,STOCK_A,50,10.27
T000167,2025-01-08,2025-01-09,PARTY006,PARTY010,STOCK_C,1000,52.26
T000168,2025-01-06,2025-01-07,PARTY010,PARTY008,STOCK_B,100,25.1
T000169,2025-01-07,2025-01-08,PARTY006,PARTY010,STOCK_E,100,119.46
T000170,2025-01-07,2025-01-08,PARTY004,PARTY005,STOCK_E,100,116.8
T000171,2025-01-08,2025-01-09,PARTY001,PARTY007,STOCK_D,500,83.31
T000172,2025-01-08,2025-01-09,PARTY007,PARTY003,STOCK_D,10,77.01
T000173,2025-01-11,2025-01-12,PARTY006,PARTY002,STOCK_D,10,80.21
T000174,2025-01-09,2025-01-10,PARTY001,PARTY004,STOCK_D,1000,81.24
T000175,2025-01-04,2025-01-05,PARTY002,PARTY009,STOCK_C,50,55.68
T000176,2025-01-08,2025-01-09,PARTY002,PARTY007,STOCK_E,100,125.45
T000177,2025-01-09,2025-01-10,PARTY009,PARTY001,STOCK_E,10,116.82
T000178,2025-01-06,2025-01-07,PARTY004,PARTY002,STOCK_D,10,82.08
T000179,2025-01-03,2025-01-04,PARTY008,PARTY003,STOCK_C,10,52.5
T000180,2025-01-02,2025-01-03,PARTY005,PARTY007,STOCK_C,100,53.05
T000181,2025-01-10,2025-01-11,PARTY007,PARTY003,STOCK_B,25,23.95
T000182,2025-01-08,2025-01-09,PARTY010,PARTY004,STOCK_D,250,77.14
T000183,2025-01-09,2025-01-10,PARTY005,PARTY009,STOCK_C,500,52.3
T000184,2025-01-09,2025-01-10,PARTY005,PARTY010,STOCK_B,10,24.85
T000185,2025-01-07,2025-01-08,PARTY010,PARTY005,STOCK_D,500,78.0
T000186,2025-01-06,2025-01-07,PARTY004,PARTY008,STOCK_D,10,77.9
T000187,2025-01-11,2025-01-12,PARTY006,PARTY005,STOCK_C,10,57.63
T000188,2025-01-08,2025-01-09,PARTY005,PARTY001,STOCK_E,1000,122.23
T000189,2025-01-02,2025-01-03,PARTY010,PARTY008,STOCK_C,1000,56.64
T000190,2025-01-11,2025-01-12,PARTY006,PARTY004,STOCK_B,250,24.38
T000191,2025-01-04,2025-01-05,PARTY002,PARTY001,STOCK_C,1000,54.67
T000192,2025-01-11,2025-01-12,PARTY006,PARTY003,STOCK_A,50,9.83
T000193,2025-01-08,2025-01-09,PARTY003,PARTY005,STOCK_B,1000,25.1
T000194,2025-01-07,2025-01-08,PARTY009,PARTY010,STOCK_C,1000,53.15
T000195,2025-01-09,2025-01-10,PARTY005,PARTY007,STOCK_A,100,10.46
T000196,2025-01-04,2025-01-05,PARTY004,PARTY008,STOCK_E,50,115.08
T000197,2025-01-08,2025-01-09,PARTY001,PARTY006,STOCK_E,10,119.46
T000198,2025-01-06,2025-01-07,PARTY010,PARTY007,STOCK_C,10,55.96
T000199,2025-01-09,2025-01-10,PARTY001,PARTY010,STOCK_C,250,53.47
T000200,2025-01-03,2025-01-04,PARTY008,PARTY005,STOCK_D,10,77.12
T000201,2025-01-02,2025-01-03,PARTY005,PARTY009,STOCK_A,10,9.73
T000202,2025-01-10,2025-01-11,PARTY003,PARTY008,STOCK_D,50,81.36
T000203,2025-01-10,2025-01-11,PARTY007,PARTY003,STOCK_D,500,76.79
T000204,2025-01-09,2025-01-10,PARTY010,PARTY007,STOCK_C,10,56.05
T000205,2025-01-05,2025-01-06,PARTY008,PARTY009,STOCK_B,1000,24.66
T000206,2025-01-07,2025-01-08,PARTY009,PARTY006,STOCK_A,100,9.78
T000207,2025-01-03,2025-01-04,PARTY008,PARTY002,STOCK_B,500,25.35
T000208,2025-01-02,2025-01-03,PARTY001,PARTY007,STOCK_B,25,25.72
T000209,2025-01-05,2025-01-06,PARTY002,PARTY010,STOCK_B,250,24.29
T000210,2025-01-05,2025-01-06,PARTY006,PARTY003,STOCK_E,10,117.33
T000211,2025-01-04,2025-01-05,PARTY003,PARTY010,STOCK_C,1000,53.21
T000212,2025-01-02,2025-01-03,PARTY003,PARTY001,STOCK_C,1000,56.59
T000213,2025-01-11,2025-01-12,PARTY006,PARTY001,STOCK_B,50,23.88
T000214,2025-01-08,2025-01-09,PARTY009,PARTY002,STOCK_A,100,9.95
T000215,2025-01-07,2025-01-08,PARTY009,PARTY002,STOCK_D,250,77.77
T000216,2025-01-11,2025-01-12,PARTY001,PARTY010,STOCK_C,100,55.79
T000217,2025-01-02,2025-01-03,PARTY001,PARTY009,STOCK_D,100,81.49
T000218,2025-01-09,2025-01-10,PARTY008,PARTY002,STOCK_A,50,10.11
T000219,2025-01-03,2025-01-04,PARTY003,PARTY006,STOCK_E,500,121.02
T000220,2025-01-07,2025-01-08,PARTY007,PARTY010,STOCK_C,100,55.03
T000221,2025-01-08,2025-01-09,PARTY002,PARTY003,STOCK_E,500,124.39
T000222,2025-01-08,2025-01-09,PARTY008,PARTY004,STOCK_D,50,82.62
T000223,2025-01-08,2025-01-09,PARTY007,PARTY002,STOCK_C,100,53.97
T000224,2025-01-06,2025-01-07,PARTY006,PARTY003,STOCK_D,10,76.73
T000225,2025-01-03,2025-01-04,PARTY002,PARTY008,STOCK_A,500,10.24
T000226,2025-01-04,2025-01-05,PARTY009,PARTY001,STOCK_E,250,120.74
T000227,2025-01-03,2025-01-04,PARTY007,PARTY006,STOCK_D,1000,83.33
T000228,2025-01-02,2025-01-03,PARTY005,PARTY006,STOCK_C,10,55.43
T000229,2025-01-05,2025-01-06,PARTY003,PARTY009,STOCK_B,1000,24.02
T000230,2025-01-10,2025-01-11,PARTY006,PARTY002,STOCK_C,250,53.49
T000231,2025-01-08,2025-01-09,PARTY009,PARTY010,STOCK_A,250,10.43
T000232,2025-01-06,2025-01-07,PARTY001,PARTY004,STOCK_C,500,56.44
T000233,2025-01-07,2025-01-08,PARTY006,PARTY001,STOCK_B,1000,24.11
T000234,2025-01-08,2025-01-09,PARTY002,PARTY004,STOCK_A,10,10.25
T000235,2025-01-05,2025-01-06,PARTY007,PARTY008,STOCK_D,50,77.26
T000236,2025-01-06,2025-01-07,PARTY006,PARTY002,STOCK_A,25,9.66
T000237,2025-01-11,2025-01-12,PARTY001,PARTY003,STOCK_C,100,55.89
T000238,2025-01-09,2025-01-10,PARTY010,PARTY008,STOCK_D,50,77.72
T000239,2025-01-10,2025-01-11,PARTY002,PARTY007,STOCK_D,10,78.27
T000240,2025-01-11,2025-01-12,PARTY008,PARTY010,STOCK_C,10,53.46
T000241,2025-01-11,2025-01-12,PARTY001,PARTY002,STOCK_B,50,26.11
T000242,2025-01-04,2025-01-05,PARTY005,PARTY006,STOCK_C,10,52.29
T000243,2025-01-08,2025-01-09,PARTY003,PARTY004,STOCK_D,250,81.63
T000244,2025-01-10,2025-01-11,PARTY009,PARTY006,STOCK_A,100,10.36
T000245,2025-01-02,2025-01-03,PARTY007,PARTY001,STOCK_D,10,82.9
T000246,2025-01-11,2025-01-12,PARTY007,PARTY008,STOCK_D,50,76.92
T000247,2025-01-02,2025-01-03,PARTY006,PARTY003,STOCK_E,100,123.98
T000248,2025-01-07,2025-01-08,PARTY002,PARTY008,STOCK_A,25,9.94
T000249,2025-01-08,2025-01-09,PARTY009,PARTY002,STOCK_D,1000,78.48
T000250,2025-01-07,2025-01-08,PARTY004,PARTY007,STOCK_B,10,25.03
T000251,2025-01-03,2025-01-04,PARTY009,PARTY010,STOCK_B,1000,24.62
T000252,2025-01-04,2025-01-05,PARTY004,PARTY002,STOCK_B,50,24.24
T000253,2025-01-11,2025-01-12,PARTY003,PARTY002,STOCK_B,1000,25.32
T000254,2025-01-09,2025-01-10,PARTY010,PARTY008,STOCK_E,500,121.62
T000255,2025-01-11,2025-01-12,PARTY006,PARTY007,STOCK_B,100,23.92
T000256,2025-01-09,2025-01-10,PARTY005,PARTY006,STOCK_E,10,118.22
T000257,2025-01-03,2025-01-04,PARTY005,PARTY009,STOCK_D,10,76.46
T000258,2025-01-06,2025-01-07,PARTY002,PARTY003,STOCK_E,250,120.08
T000259,2025-01-09,2025-01-10,PARTY010,PARTY009,STOCK_A,100,10.41
T000260,2025-01-11,2025-01-12,PARTY004,PARTY007,STOCK_E,100,120.02
T000261,2025-01-02,2025-01-03,PARTY008,PARTY002,STOCK_C,500,52.71
T000262,2025-01-04,2025-01-05,PARTY001,PARTY005,STOCK_D,100,80.19
T000263,2025-01-11,2025-01-12,PARTY003,PARTY007,STOCK_C,50,54.38
T000264,2025-01-07,2025-01-08,PARTY010,PARTY001,STOCK_C,10,54.06
T000265,2025-01-10,2025-01-11,PARTY007,PARTY005,STOCK_C,500,56.93
T000266,2025-01-11,2025-01-12,PARTY003,PARTY007,STOCK_A,250,10.16
T000267,2025-01-07,2025-01-08,PARTY005,PARTY008,STOCK_B,250,25.52
T000268,2025-01-03,2025-01-04,PARTY005,PARTY010,STOCK_D,500,82.33
T000269,2025-01-04,2025-01-05,PARTY009,PARTY002,STOCK_D,250,78.89
T000270,2025-01-07,2025-01-08,PARTY005,PARTY003,STOCK_B,50,26.12
T000271,2025-01-09,2025-01-10,PARTY004,PARTY005,STOCK_B,25,23.94
T000272,2025-01-03,2025-01-04,PARTY009,PARTY010,STOCK_E,10,121.94
T000273,2025-01-11,2025-01-12,PARTY003,PARTY008,STOCK_B,25,24.2
T000274,2025-01-11,2025-01-12,PARTY003,PARTY009,STOCK_A,100,9.86
T000275,2025-01-05,2025-01-06,PARTY008,PARTY005,STOCK_D,25,80.27
T000276,2025-01-06,2025-01-07,PARTY008,PARTY004,STOCK_C,500,57.46
T000277,2025-01-09,2025-01-10,PARTY008,PARTY005,STOCK_D,250,80.22
T000278,2025-01-04,2025-01-05,PARTY004,PARTY003,STOCK_C,10,55.78
T000279,2025-01-07,2025-01-08,PARTY009,PARTY002,STOCK_E,1000,115.5
T000280,2025-01-03,2025-01-04,PARTY003,PARTY006,STOCK_D,250,77.18
T000281,2025-01-08,2025-01-09,PARTY002,PARTY005,STOCK_D,50,83.44
T000282,2025-01-08,2025-01-09,PARTY001,PARTY008,STOCK_E,50,116.83
T000283,2025-01-03,2025-01-04,PARTY006,PARTY004,STOCK_A,50,10.43
T000284,2025-01-07,2025-01-08,PARTY003,PARTY004,STOCK_A,50,10.42
T000285,2025-01-09,2025-01-10,PARTY003,PARTY009,STOCK_D,250,76.04
T000286,2025-01-03,2025-01-04,PARTY001,PARTY006,STOCK_B,1000,24.12
T000287,2025-01-11,2025-01-12,PARTY009,PARTY007,STOCK_A,1000,9.79
T000288,2025-01-06,2025-01-07,PARTY002,PARTY001,STOCK_B,100,25.35
T000289,2025-01-11,2025-01-12,PARTY008,PARTY002,STOCK_A,1000,10.41
T000290,2025-01-11,2025-01-12,PARTY009,PARTY001,STOCK_E,250,116.9
T000291,2025-01-04,2025-01-05,PARTY005,PARTY008,STOCK_A,250,9.85
T000292,2025-01-11,2025-01-12,PARTY007,PARTY003,STOCK_A,250,10.47
T000293,2025-01-03,2025-01-04,PARTY009,PARTY010,STOCK_E,1000,125.86
T000294,2025-01-10,2025-01-11,PARTY001,PARTY008,STOCK_D,10,81.09
T000295,2025-01-07,2025-01-08,PARTY005,PARTY001,STOCK_C,1000,52.62
T000296,2025-01-05,2025-01-06,PARTY002,PARTY007,STOCK_B,10,24.63
T000297,2025-01-07,2025-01-08,PARTY003,PARTY009,STOCK_D,500,77.46
T000298,2025-01-04,2025-01-05,PARTY002,PARTY009,STOCK_A,50,9.7
T000299,2025-01-05,2025-01-06,PARTY001,PARTY007,STOCK_C,250,54.44
T000300,2025-01-10,2025-01-11,PARTY008,PARTY005,STOCK_A,1000,10.15
T000301,2025-01-06,2025-01-07,PARTY006,PARTY001,STOCK_C,50,52.93
T000302,2025-01-07,2025-01-08,PARTY007,PARTY008,STOCK_D,100,78.71
T000303,2025-01-04,2025-01-05,PARTY008,PARTY009,STOCK_C,1000,55.11
T000304,2025-01-03,2025-01-04,PARTY007,PARTY002,STOCK_D,250,83.96
T000305,2025-01-04,2025-01-05,PARTY009,PARTY005,STOCK_C,10,52.69
T000306,2025-01-06,2025-01-07,PARTY005,PARTY009,STOCK_E,500,119.11
T000307,2025-01-09,2025-01-10,PARTY006,PARTY009,STOCK_A,500,10.37
T000308,2025-01-07,2025-01-08,PARTY010,PARTY007,STOCK_C,500,57.64
T000309,2025-01-02,2025-01-03,PARTY002,PARTY008,STOCK_C,250,56.66
T000310,2025-01-04,2025-01-05,PARTY001,PARTY004,STOCK_E,500,123.38
T000311,2025-01-02,2025-01-03,PARTY003,PARTY002,STOCK_B,1000,25.36
T000312,2025-01-07,2025-01-08,PARTY007,PARTY001,STOCK_E,25,122.15
T000313,2025-01-07,2025-01-08,PARTY006,PARTY009,STOCK_A,250,9.64
T000314,2025-01-07,2025-01-08,PARTY007,PARTY006,STOCK_C,25,57.53
T000315,2025-01-02,2025-01-03,PARTY003,PARTY009,STOCK_E,100,124.96
T000316,2025-01-03,2025-01-04,PARTY005,PARTY006,STOCK_D,25,83.97
T000317,2025-01-06,2025-01-07,PARTY008,PARTY004,STOCK_A,25,10.35
T000318,2025-01-09,2025-01-10,PARTY003,PARTY009,STOCK_A,1000,10.18
T000319,2025-01-07,2025-01-08,PARTY006,PARTY002,STOCK_E,250,117.48
T000320,2025-01-06,2025-01-07,PARTY003,PARTY004,STOCK_C,250,53.48
T000321,2025-01-05,2025-01-06,PARTY003,PARTY005,STOCK_D,10,78.89
T000322,2025-01-11,2025-01-12,PARTY006,PARTY009,STOCK_E,25,121.34
